domain,dataset,metric,gram_size,n_left,n_undefined,detection_rate,median_top1,max_top1
chrome,verdict,ngram_containment,3,36,0,0.4444444444444444,0.0,0.3888888888888889
chrome,verdict,ngram_containment,4,36,0,0.08333333333333333,0.0,0.29411764705882354
chrome,verdict,ngram_containment,5,36,0,0.05555555555555555,0.0,0.1875
chrome,verdict,ngram_containment,8,36,4,0.0,0.0,0.0
chrome,verdict,ngram_containment,13,36,15,0.0,0.0,0.0
chrome,verdict,jaccard_uni_bi,,36,0,,0.0998670654702559,0.4666666666666667
chrome,lower,ngram_containment,3,46,0,0.5434782608695652,0.03256302521008403,0.16666666666666666
chrome,lower,ngram_containment,4,46,0,0.15217391304347827,0.0,0.11764705882352941
chrome,lower,ngram_containment,5,46,0,0.043478260869565216,0.0,0.0625
chrome,lower,ngram_containment,8,46,6,0.0,0.0,0.0
chrome,lower,ngram_containment,13,46,13,0.0,0.0,0.0
chrome,lower,jaccard_uni_bi,,46,0,,0.12678571428571428,0.2
chrome,cross_floor,ngram_containment,3,46,0,0.2608695652173913,0.0,0.2
chrome,cross_floor,ngram_containment,4,46,0,0.13043478260869565,0.0,0.125
chrome,cross_floor,ngram_containment,5,46,0,0.06521739130434782,0.0,0.08695652173913043
chrome,cross_floor,ngram_containment,8,46,6,0.0,0.0,0.0
chrome,cross_floor,ngram_containment,13,46,13,0.0,0.0,0.0
chrome,cross_floor,jaccard_uni_bi,,46,0,,0.06976744186046512,0.19696969696969696
chrome,upper,ngram_containment,3,230,0,0.8782608695652174,0.24404761904761904,0.8
chrome,upper,ngram_containment,4,230,0,0.6652173913043479,0.125,0.75
chrome,upper,ngram_containment,5,230,0,0.4608695652173913,0.0,0.6923076923076923
chrome,upper,ngram_containment,8,230,5,0.14222222222222222,0.0,0.6153846153846154
chrome,upper,ngram_containment,13,230,65,0.06060606060606061,0.0,0.375
chrome,upper,jaccard_uni_bi,,230,0,,0.3333333333333333,0.7575757575757576
gimp,verdict,ngram_containment,3,55,0,0.34545454545454546,0.0,0.75
gimp,verdict,ngram_containment,4,55,0,0.12727272727272726,0.0,0.7142857142857143
gimp,verdict,ngram_containment,5,55,0,0.09090909090909091,0.0,0.6666666666666666
gimp,verdict,ngram_containment,8,55,1,0.018518518518518517,0.0,0.3333333333333333
gimp,verdict,ngram_containment,13,55,15,0.0,0.0,0.0
gimp,verdict,jaccard_uni_bi,,55,0,,0.11666666666666667,0.6666666666666666
gimp,lower,ngram_containment,3,26,0,0.5769230769230769,0.07703703703703704,1.0
gimp,lower,ngram_containment,4,26,0,0.5384615384615384,0.04006410256410256,1.0
gimp,lower,ngram_containment,5,26,0,0.23076923076923078,0.0,1.0
gimp,lower,ngram_containment,8,26,0,0.07692307692307693,0.0,1.0
gimp,lower,ngram_containment,13,26,11,0.0,0.0,0.0
gimp,lower,jaccard_uni_bi,,26,0,,0.16228070175438597,0.8095238095238095
gimp,cross_floor,ngram_containment,3,26,0,0.5384615384615384,0.06335282651072124,0.3
gimp,cross_floor,ngram_containment,4,26,0,0.46153846153846156,0.0,0.2222222222222222
gimp,cross_floor,ngram_containment,5,26,0,0.19230769230769232,0.0,0.14285714285714285
gimp,cross_floor,ngram_containment,8,26,0,0.0,0.0,0.0
gimp,cross_floor,ngram_containment,13,26,11,0.0,0.0,0.0
gimp,cross_floor,jaccard_uni_bi,,26,0,,0.11696306429548564,0.19696969696969696
gimp,upper,ngram_containment,3,130,0,0.9230769230769231,0.36278195488721804,1.0
gimp,upper,ngram_containment,4,130,0,0.7692307692307693,0.25,1.0
gimp,upper,ngram_containment,5,130,0,0.6153846153846154,0.14285714285714285,1.0
gimp,upper,ngram_containment,8,130,6,0.1935483870967742,0.0,1.0
gimp,upper,ngram_containment,13,130,64,0.0,0.0,0.0
gimp,upper,jaccard_uni_bi,,130,0,,0.4014925373134328,0.875
vlc,verdict,ngram_containment,3,48,0,0.2708333333333333,0.0,0.26666666666666666
vlc,verdict,ngram_containment,4,48,0,0.125,0.0,0.15789473684210525
vlc,verdict,ngram_containment,5,48,0,0.08333333333333333,0.0,0.1111111111111111
vlc,verdict,ngram_containment,8,48,6,0.0,0.0,0.0
vlc,verdict,ngram_containment,13,48,17,0.0,0.0,0.0
vlc,verdict,jaccard_uni_bi,,48,0,,0.07921568627450981,0.3125
vlc,lower,ngram_containment,3,17,0,0.47058823529411764,0.0,0.12
vlc,lower,ngram_containment,4,17,0,0.11764705882352941,0.0,0.038461538461538464
vlc,lower,ngram_containment,5,17,0,0.0,0.0,0.0
vlc,lower,ngram_containment,8,17,0,0.0,0.0,0.0
vlc,lower,ngram_containment,13,17,2,0.0,0.0,0.0
vlc,lower,jaccard_uni_bi,,17,0,,0.11009174311926606,0.13636363636363635
vlc,cross_floor,ngram_containment,3,17,0,0.6470588235294118,0.02702702702702703,0.21428571428571427
vlc,cross_floor,ngram_containment,4,17,0,0.29411764705882354,0.0,0.15384615384615385
vlc,cross_floor,ngram_containment,5,17,0,0.11764705882352941,0.0,0.08333333333333333
vlc,cross_floor,ngram_containment,8,17,0,0.0,0.0,0.0
vlc,cross_floor,ngram_containment,13,17,2,0.0,0.0,0.0
vlc,cross_floor,jaccard_uni_bi,,17,0,,0.12195121951219512,0.18571428571428572
vlc,upper,ngram_containment,3,85,0,0.8,0.25,0.7777777777777778
vlc,upper,ngram_containment,4,85,0,0.611764705882353,0.1,0.7058823529411765
vlc,upper,ngram_containment,5,85,0,0.38823529411764707,0.0,0.6875
vlc,upper,ngram_containment,8,85,0,0.09411764705882353,0.0,0.6153846153846154
vlc,upper,ngram_containment,13,85,15,0.07142857142857142,0.0,0.375
vlc,upper,jaccard_uni_bi,,85,0,,0.22826086956521738,0.7105263157894737
