model,domain,dataset,n,median,max,p90,p95,p99
uae-large-v1,chrome,verdict,36,0.6140077114105225,0.8249961137771606,0.7218915820121765,,
uae-large-v1,chrome,lower,46,0.6072884500026703,0.750173807144165,0.7149269282817841,,
uae-large-v1,chrome,cross_floor,46,0.47925838828086853,0.6435118317604065,0.5741395652294159,,
uae-large-v1,chrome,upper,230,0.9210073947906494,0.9882504343986511,0.9619218230247497,0.9703299611806869,0.9798824399709701
uae-large-v1,gimp,verdict,55,0.6882204413414001,0.8850337862968445,0.8114980816841125,0.8257607877254486,
uae-large-v1,gimp,lower,26,0.6918333172798157,0.9245429635047913,,,
uae-large-v1,gimp,cross_floor,26,0.6192792057991028,0.6987862586975098,,,
uae-large-v1,gimp,upper,130,0.9504662156105042,0.9923655390739441,0.9763813197612763,0.9853281080722809,0.9909687048196792
uae-large-v1,vlc,verdict,48,0.6793934404850006,0.831516444683075,0.7928713262081146,,
uae-large-v1,vlc,lower,17,0.6983404159545898,0.7758324146270752,,,
uae-large-v1,vlc,cross_floor,17,0.5920982360839844,0.6987862586975098,,,
uae-large-v1,vlc,upper,85,0.9021742343902588,0.9768962264060974,0.9534128665924072,0.9600521683692932,
bge-large-en-v1.5,chrome,verdict,36,0.6488307118415833,0.8466140031814575,0.7613371312618256,,
bge-large-en-v1.5,chrome,lower,46,0.6605916917324066,0.7725078463554382,0.7439126074314117,,
bge-large-en-v1.5,chrome,cross_floor,46,0.5382323265075684,0.6767067909240723,0.6183142960071564,,
bge-large-en-v1.5,chrome,upper,230,0.9149557948112488,0.9884111881256104,0.9582337737083435,0.9685149550437927,0.9748791688680649
bge-large-en-v1.5,gimp,verdict,55,0.7200943231582642,0.8971039056777954,0.8272956013679504,0.8453795373439789,
bge-large-en-v1.5,gimp,lower,26,0.7315568029880524,0.9442965984344482,,,
bge-large-en-v1.5,gimp,cross_floor,26,0.6622841060161591,0.7378942966461182,,,
bge-large-en-v1.5,gimp,upper,130,0.951162576675415,0.9932293891906738,0.9753124058246613,0.9817024230957031,0.9908699208498001
bge-large-en-v1.5,vlc,verdict,48,0.6942462921142578,0.8457800149917603,0.7852595448493958,,
bge-large-en-v1.5,vlc,lower,17,0.7093183994293213,0.7764063477516174,,,
bge-large-en-v1.5,vlc,cross_floor,17,0.6416184306144714,0.7378944158554077,,,
bge-large-en-v1.5,vlc,upper,85,0.8959589004516602,0.9752466082572937,0.9508609652519227,0.9610142827033996,
gte-large,chrome,verdict,36,0.844462662935257,0.919553279876709,0.8905982077121735,,
gte-large,chrome,lower,46,0.8423919379711151,0.8948673009872437,0.8642876744270325,,
gte-large,chrome,cross_floor,46,0.7742027640342712,0.8446704149246216,0.8214740753173828,,
gte-large,chrome,upper,230,0.9669418334960938,0.9958527684211731,0.9845674276351929,0.9871664941310883,0.9919491559267044
gte-large,gimp,verdict,55,0.8574880361557007,0.9464324116706848,0.911766767501831,0.9217001140117645,
gte-large,gimp,lower,26,0.8605701923370361,0.9705445766448975,,,
gte-large,gimp,cross_floor,26,0.8228279054164886,0.861456036567688,,,
gte-large,gimp,upper,130,0.9716455042362213,0.9971344470977783,0.9870164096355438,0.9918474912643432,0.9963198459148407
gte-large,vlc,verdict,48,0.8661719858646393,0.9225600957870483,0.9035139679908752,,
gte-large,vlc,lower,17,0.8650637269020081,0.8863915205001831,,,
gte-large,vlc,cross_floor,17,0.8214654922485352,0.8614680171012878,,,
gte-large,vlc,upper,85,0.9561173915863037,0.9920613765716553,0.9771931767463684,0.9795252680778503,
