model,domain,dataset,left_id,top1,top2,gap,ratio,top1_right_id
bge-large-en-v1.5,chrome,verdict,altdate_cheapest,0.619332,0.6146,0.004732,0.987722,f79439ad-3ee8-4f99-a518-0eb60e5652b0
bge-large-en-v1.5,chrome,verdict,attraction_view_london_eye,0.585185,0.571165,0.01402,0.967306,f3b19d1e-2d48-44e9-b4e1-defcae1a0197
bge-large-en-v1.5,chrome,verdict,car_electric_fuel,0.688865,0.662537,0.026328,0.921982,82279c77-8fc6-46f6-9622-3ba96f61b477
bge-large-en-v1.5,chrome,verdict,car_large_price_sort,0.73503,0.665233,0.069797,0.791506,1704f00f-79e6-43a7-961b-cedd3724d5fd
bge-large-en-v1.5,chrome,verdict,car_rating_sort,0.682302,0.645948,0.036354,0.89732,1704f00f-79e6-43a7-961b-cedd3724d5fd
bge-large-en-v1.5,chrome,verdict,checkout_fill_email_stop,0.611396,0.606412,0.004984,0.987336,6c4c23a1-42a4-43cc-9db1-2f86ff3738cc
bge-large-en-v1.5,chrome,verdict,currency_switch_eur,0.638642,0.638596,4.6e-05,0.999872,c1fa57f3-c3db-4596-8f09-020701085416
bge-large-en-v1.5,chrome,verdict,flight_business_cabin,0.686167,0.669578,0.016589,0.949796,6c4c23a1-42a4-43cc-9db1-2f86ff3738cc
bge-large-en-v1.5,chrome,verdict,flight_oneway_2adults,0.767855,0.62826,0.139595,0.624482,f79439ad-3ee8-4f99-a518-0eb60e5652b0
bge-large-en-v1.5,chrome,verdict,flight_route_date_tomorrow,0.754819,0.638211,0.116608,0.67769,fc6d8143-9452-4171-9459-7f515143419a
bge-large-en-v1.5,chrome,verdict,flight_route_next_monday,0.804721,0.760549,0.044172,0.815528,82bc8d6a-36eb-4d2d-8801-ef714fb1e55a
bge-large-en-v1.5,chrome,verdict,geo_hierarchy_italy_rome,0.611459,0.555605,0.055853,0.874316,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
bge-large-en-v1.5,chrome,verdict,geo_hierarchy_spain_madrid,0.602865,0.598929,0.003936,0.990186,f79439ad-3ee8-4f99-a518-0eb60e5652b0
bge-large-en-v1.5,chrome,verdict,help_category_manage_booking,0.673186,0.668478,0.004708,0.985799,f3b19d1e-2d48-44e9-b4e1-defcae1a0197
bge-large-en-v1.5,chrome,verdict,help_search_cancel,0.662911,0.610364,0.052546,0.86514,f3b19d1e-2d48-44e9-b4e1-defcae1a0197
bge-large-en-v1.5,chrome,verdict,help_search_refund,0.622649,0.582141,0.040508,0.903058,f3b19d1e-2d48-44e9-b4e1-defcae1a0197
bge-large-en-v1.5,chrome,verdict,hotel_multi_filter_genius_review,0.560026,0.529243,0.030783,0.934609,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
bge-large-en-v1.5,chrome,verdict,hotel_open_detail,0.633641,0.619568,0.014073,0.963008,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
bge-large-en-v1.5,chrome,verdict,hotel_price_sort,0.846614,0.580153,0.266461,0.365337,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
bge-large-en-v1.5,chrome,verdict,hotel_review_genius_filter,0.694927,0.57349,0.121437,0.715277,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
